Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
6,4/10/26 5:07 PM,Diet Coke,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,NA Beverage,5.00,2.0,false
6,4/10/26 5:07 PM,3pc Chicken Tenders,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,10.00,1.0,false
6,4/10/26 5:07 PM,Fire Chicken,MAINS,PERILLA TO-GO,Food,20.00,1.0,false
6,4/10/26 5:07 PM,Tteokbokki,RICE CAKES & NOODLES,PERILLA TO-GO,Food,12.00,1.0,false
6,4/10/26 5:07 PM,Bibimbop,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
6,4/10/26 5:07 PM,Kimchi Fried Rice Arancini,STARTERS,PERILLA TO-GO,Food,12.00,1.0,false
6,4/10/26 5:07 PM,Side: Soy Vinaigrette,SIDES,PERILLA TO-GO,Food,1.00,1.0,false
6,4/10/26 5:07 PM,Soondubu Jigae,STEWS,PERILLA TO-GO,Food,18.00,1.0,false
5,4/10/26 5:12 PM,Korean Handshake,BEVERAGE,HAPPY HOUR,,6.00,1.0,false
5,4/10/26 5:12 PM,Peach Jinro,BEVERAGE,HAPPY HOUR,,12.00,1.0,false
5,4/10/26 5:12 PM,HH Kimchi Arancini,FOOD,HAPPY HOUR,,5.00,1.0,false
5,4/10/26 5:12 PM,HH Scallion Pancake,FOOD,HAPPY HOUR,,8.00,1.0,false
7,4/10/26 5:12 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
7,4/10/26 5:12 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
7,4/10/26 5:12 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
7,4/10/26 5:18 PM,Fresh Start,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
7,4/10/26 5:18 PM,Old Friend,COCKTAILS,BEVERAGE,Liquor,16.00,1.0,false
7,4/10/26 5:19 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
7,4/10/26 5:19 PM,Pa-Muchim,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
7,4/10/26 5:19 PM,Classic Tasting Plate,For the Grill,FOOD,Food,90.00,2.0,false
7,4/10/26 5:19 PM,Scallion Pancake,For the Table,FOOD,Food,16.00,1.0,false
7,4/10/26 5:19 PM,Garlic Rice,Stews/Rice,FOOD,Food,11.00,1.0,false
7,4/10/26 5:19 PM,Soondubu Jjigae,Stews/Rice,FOOD,Food,16.00,1.0,false
5,4/10/26 5:33 PM,HH Blistered Shishito Peppers,FOOD,HAPPY HOUR,,6.00,1.0,false
5,4/10/26 5:33 PM,HH Korean Fried Chicken Wings,FOOD,HAPPY HOUR,,9.00,1.0,false
8,4/10/26 5:37 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
8,4/10/26 5:37 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
8,4/10/26 5:37 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
2,4/10/26 5:37 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
2,4/10/26 5:37 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
2,4/10/26 5:37 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
9,4/10/26 5:40 PM,Broth,Course 1,FOOD,Food,0.00,4.0,false
9,4/10/26 5:40 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
9,4/10/26 5:40 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,4.0,false
9,4/10/26 5:42 PM,Sparkling Greet,BY THE GLASS,BEVERAGE,Wine,0.00,2.0,false
9,4/10/26 5:42 PM,Sparkling Greet,BY THE GLASS,BEVERAGE,Wine,0.00,2.0,false
10,4/10/26 5:43 PM,Kimchi Fried Rice Arancini,STARTERS,PERILLA TO-GO,Food,12.00,1.0,false
10,4/10/26 5:43 PM,12 pc Korean Fried Chicken Wing Platter,WING PLATTERS,PERILLA TO-GO,Food,38.00,1.0,false
10,4/10/26 5:43 PM,Banchan Set,BANCHAN,PERILLA TO-GO,Food,16.00,2.0,false
10,4/10/26 5:43 PM,Buffalo Chicken Wrap,SIR CHICKEN TO-GO,SIR CHICKEN TO-GO,Sir Chicken,32.00,2.0,false
8,4/10/26 5:46 PM,Grey Goose,SPIRITS,BEVERAGE,Liquor,34.00,2.0,false
11,4/10/26 5:47 PM,Bibimbop,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
11,4/10/26 5:47 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,22.00,1.0,false
11,4/10/26 5:47 PM,Fire Chicken Rice Bowl,PLATES & BOWLS,PERILLA TO-GO,Food,18.00,1.0,false
9,4/10/26 5:47 PM,Korean Handshake,BEVERAGE,HAPPY HOUR,,24.00,4.0,false
9,4/10/26 5:47 PM,HH Blistered Shishito Peppers,FOOD,HAPPY HOUR,,6.00,1.0,false
9,4/10/26 5:47 PM,Astral Blanco,SPIRITS,BEVERAGE,Liquor,14.00,1.0,false
9,4/10/26 5:47 PM,Aloe From The Other Side,COCKTAILS,BEVERAGE,NA Beverage,12.00,1.0,false
2,4/10/26 5:49 PM,Ssam,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Pa-Muchim,Banchan/Accompaniments,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Classic Tasting Plate,For the Grill,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Chef's Tasting Plate,For the Grill,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Korean Fried Chicken,For the Table,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Dwenjang Potatoes,For the Table,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Rice Cake Royale,For the Table,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Soondubu Jjigae,Stews/Rice,FOOD,Food,0.00,1.0,false
2,4/10/26 5:49 PM,Sparkling Greet,BY THE GLASS,BEVERAGE,Wine,0.00,2.0,false
12,4/10/26 5:51 PM,1L Mtn Sparkling,NA BEVERAGES,BEVERAGE,NA Beverage,10.00,1.0,false
8,4/10/26 5:52 PM,Chef's Tasting Plate,For the Grill,FOOD,Food,75.00,1.0,false
8,4/10/26 5:52 PM,Rice Cake Royale,For the Table,FOOD,Food,23.00,1.0,false
8,4/10/26 5:52 PM,Kimchi Fried Rice,Stews/Rice,FOOD,Food,16.00,1.0,false
13,4/10/26 5:53 PM,Broth,Course 1,FOOD,Food,0.00,3.0,false
13,4/10/26 5:53 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
13,4/10/26 5:53 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,3.0,false
14,4/10/26 5:55 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,27.00,1.0,false
13,4/10/26 5:55 PM,HH Korean Fried Chicken Wings,FOOD,HAPPY HOUR,,18.00,2.0,false
13,4/10/26 5:55 PM,HH Scallion Pancake,FOOD,HAPPY HOUR,,8.00,1.0,false
13,4/10/26 5:56 PM,HH Jjajangmyeon,FOOD,HAPPY HOUR,,10.00,1.0,false
13,4/10/26 5:56 PM,Korean Handshake,BEVERAGE,HAPPY HOUR,,12.00,2.0,false
13,4/10/26 5:56 PM,House White Wine,BEVERAGE,HAPPY HOUR,,12.00,1.0,false
9,4/10/26 5:58 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
9,4/10/26 5:58 PM,Classic Tasting Plate,For the Grill,FOOD,Food,90.00,2.0,false
9,4/10/26 5:58 PM,Kimchi Fried Rice,Stews/Rice,FOOD,Food,18.00,1.0,false
9,4/10/26 5:58 PM,Soondubu Jjigae,Stews/Rice,FOOD,Food,16.00,1.0,false
9,4/10/26 5:58 PM,HH Blistered Shishito Peppers,FOOD,HAPPY HOUR,,6.00,1.0,false
5,4/10/26 5:59 PM,Pork Dumplings,BAR FOOD,BAR/PATIO,Food,12.00,1.0,false
12,4/10/26 6:01 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
12,4/10/26 6:01 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
12,4/10/26 6:01 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,2.0,false
12,4/10/26 6:01 PM,"Honey, I Shrunk the Figs",COCKTAILS,BEVERAGE,NA Beverage,12.00,1.0,false
12,4/10/26 6:01 PM,Cheong & Cheerful,COCKTAILS,BEVERAGE,NA Beverage,12.00,1.0,false
15,4/10/26 6:02 PM,Korean Meal Plate,PLATES & BOWLS,PERILLA TO-GO,Food,24.00,1.0,false
15,4/10/26 6:02 PM,Small Rice,SIDES,PERILLA TO-GO,Food,2.50,1.0,false
12,4/10/26 6:03 PM,Ssam,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
12,4/10/26 6:03 PM,Pa-Muchim,Banchan/Accompaniments,FOOD,Food,5.00,1.0,false
12,4/10/26 6:03 PM,Classic Tasting Plate,For the Grill,FOOD,Food,45.00,1.0,false
12,4/10/26 6:03 PM,Mishima Wagyu Hanger,For the Grill,FOOD,Food,36.00,1.0,false
12,4/10/26 6:03 PM,1/2 Mushrooms,For the Grill,FOOD,Food,13.00,1.0,false
12,4/10/26 6:03 PM,1/2 Scallion Pancake,For the Table,FOOD,Food,10.00,1.0,false
12,4/10/26 6:03 PM,1/2 Shishito Peppers,For the Table,FOOD,Food,5.00,1.0,false
12,4/10/26 6:03 PM,Garlic Rice,Stews/Rice,FOOD,Food,11.00,1.0,false
16,4/10/26 6:04 PM,Broth,Course 1,FOOD,Food,0.00,2.0,false
16,4/10/26 6:04 PM,Banchan Set,Course 1,FOOD,Food,0.00,1.0,false
16,4/10/26 6:04 PM,Dipping Sauce,Course 1,FOOD,Food,0.00,3.0,false
